koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_srad
FALSE POSITIVE,0.933754669,0.7280,4.04800,8.9300e+01,0.009310,0.07190,1.48,0.0192,2475.0,8881.31,1.491000,43.20,6443.00,4.146,1.4570
FALSE POSITIVE,86.798766490,,2.99000,,,,,,,,,,,,
FALSE POSITIVE,164.575067470,,9.57000,,,,,,,,,,,,
FALSE POSITIVE,1.710308030,0.2820,2.71800,2.1600e+02,0.013480,0.68052,1.32,0.0280,1449.0,1039.18,4.721000,21.00,5790.00,4.528,0.9000
FALSE POSITIVE,79.920131900,0.6230,4.48200,1.3268e+03,0.034730,4.22447,1.81,0.2851,217.0,0.53,112.600000,21.90,3812.00,4.767,0.4760
FALSE POSITIVE,199.311300000,0.6890,6.43000,3.8360e+02,0.019056,2.68222,1.64,0.6348,278.0,1.42,177.900000,6.50,5662.00,4.577,0.7890
FALSE POSITIVE,157.821310000,0.1495,12.42000,1.9230e+02,0.012707,0.69838,1.59,0.5821,377.0,4.75,97.200000,6.90,6082.00,4.342,1.1470
FALSE POSITIVE,2.286125730,1.1880,12.40800,3.0160e+02,0.204820,0.00670,22.63,0.0353,1433.0,993.96,1.228000,45.30,6063.00,4.476,1.0120
CONFIRMED,199.668760000,0.0460,8.99600,2.5190e+02,0.014438,2.40750,1.45,0.6193,305.0,2.06,171.800000,13.90,5678.00,4.409,0.9210
FALSE POSITIVE,1.332549710,0.7410,4.69000,1.5830e+02,0.012447,0.05423,1.36,0.0233,1782.0,2377.19,1.720000,35.30,6150.00,4.410,1.0040
FALSE POSITIVE,0.469334634,0.9500,0.88640,3.4040e+02,0.021817,0.50556,2.40,0.0115,2432.0,8264.27,1.806000,49.10,5888.00,4.394,1.0080
FALSE POSITIVE,0.849277809,1.1870,3.13700,6.9080e+02,0.215910,0.05980,20.11,0.0173,1781.0,2366.84,1.316000,17.10,5743.00,4.553,0.8530
CONFIRMED,71.452316700,0.0170,6.27600,2.1690e+02,0.013504,2.53706,2.19,0.3475,561.0,23.44,88.140000,16.60,6148.00,4.132,1.4880
FALSE POSITIVE,1.752564549,0.7410,3.50300,1.1660e+02,0.010683,0.12951,1.38,0.0293,1741.0,2174.09,2.760000,38.00,6221.00,4.333,1.1800
FALSE POSITIVE,0.566816802,0.4140,1.98100,9.4000e+01,0.008803,0.56331,0.68,0.0119,1585.0,1483.43,2.123000,12.90,4665.00,4.584,0.7040
FALSE POSITIVE,1.752553762,0.3460,3.87700,4.1470e+02,0.018419,0.23634,1.06,0.0230,933.0,178.74,3.370000,32.50,4408.00,4.713,0.5290
FALSE POSITIVE,2.065351521,0.6300,2.66100,1.7320e+02,0.012596,0.47963,1.03,0.0282,1196.0,485.51,4.760000,25.30,5266.00,4.536,0.7490
FALSE POSITIVE,2.253551793,0.7610,3.66000,1.1960e+02,0.010887,0.12742,1.70,0.0360,1812.0,2547.01,3.250000,42.10,6526.00,4.217,1.4260
CONFIRMED,1.063788610,0.4660,1.07200,2.5150e+02,0.014732,5.41595,1.61,0.0198,1650.0,1761.19,6.870000,21.50,5265.00,4.400,1.0020
FALSE POSITIVE,123.114947730,,17.24000,,,,,,,,,,,,
FALSE POSITIVE,1.854493861,1.2790,4.23670,1.2873e+03,0.319255,0.02619,29.39,0.0290,1291.0,657.94,1.682000,108.20,5431.00,4.563,0.8430
FALSE POSITIVE,1.020713389,0.4250,0.87300,1.0230e+02,0.009512,10.04942,0.90,0.0193,1724.0,2079.36,8.210000,11.30,5815.00,4.520,0.8700
FALSE POSITIVE,2.199063800,0.4890,3.19700,3.4480e+02,0.017186,0.41687,1.33,0.0291,1087.0,330.97,4.740000,19.30,5003.00,4.572,0.7070
FALSE POSITIVE,132.133101100,0.6060,26.71500,7.9562e+03,0.084662,0.04263,75.08,0.6194,809.0,101.41,34.010000,284.30,5067.00,2.877,8.1210
FALSE POSITIVE,1.120646438,1.1820,1.76640,3.2250e+02,0.202822,0.06207,89.35,0.0251,2783.0,14127.22,1.603000,45.70,4972.00,3.449,4.0340
FALSE POSITIVE,1.710279417,0.4730,2.25200,2.2880e+02,0.014075,0.93612,1.57,0.0292,1524.0,1272.50,5.250000,19.90,5834.00,4.472,1.0230
FALSE POSITIVE,65.238281000,0.1471,5.75600,1.9720e+02,0.012604,2.90202,5.18,0.3753,734.0,68.49,86.800000,10.30,5254.00,3.506,3.7610
FALSE POSITIVE,0.566796410,0.3220,2.32400,2.6700e+01,0.004693,0.39665,0.46,0.0134,1940.0,3349.38,1.889000,14.10,5403.00,4.540,0.8880
CONFIRMED,9.887366420,0.3830,4.23000,6.8000e+01,0.007617,0.89377,0.68,0.0872,768.0,82.32,16.650000,14.60,5693.00,4.570,0.8160
CONFIRMED,42.352003900,0.6590,7.77300,5.1260e+02,0.021934,0.36250,6.30,0.2743,938.0,182.91,32.500000,30.50,6864.00,3.783,2.6320
CONFIRMED,0.789160884,0.3760,0.92680,2.1510e+02,0.013424,7.08786,0.91,0.0142,1244.0,564.46,6.160000,23.60,4258.00,4.635,0.6220
FALSE POSITIVE,2.399081606,1.2760,4.38400,6.0716e+03,0.371808,0.05026,40.60,0.0351,1360.0,810.78,2.480000,89.90,5780.00,4.438,1.0000
FALSE POSITIVE,5.140726210,1.1590,27.24000,1.4560e+02,0.170568,0.00120,19.28,0.0575,1076.0,317.19,1.188000,44.50,5751.00,4.389,1.0350
FALSE POSITIVE,0.566798545,0.3310,5.22400,3.6900e+01,0.005557,0.07188,0.53,0.0134,2004.0,3787.58,1.068700,23.30,5629.00,4.553,0.8700
CONFIRMED,1.444452340,0.1620,0.97530,2.0070e+02,0.012845,13.17877,2.03,0.0245,1800.0,2479.44,11.330000,20.90,5305.00,4.088,1.4490
FALSE POSITIVE,3.556536370,0.7120,8.70000,2.0250e+02,0.013938,0.02069,1.70,0.0474,1272.0,619.57,2.401000,23.10,5950.00,4.395,1.1140
FALSE POSITIVE,9.608536010,1.2290,3.67200,5.8440e+02,0.253008,0.02653,31.99,0.0946,984.0,221.77,5.060000,19.30,6377.00,4.398,1.1580
FALSE POSITIVE,0.933747751,0.7410,3.92360,7.6600e+01,0.008655,0.07391,2.07,0.0214,3112.0,22250.69,1.505000,49.50,6985.00,3.936,2.1870
FALSE POSITIVE,3.174635770,1.0590,10.98800,4.0590e+02,0.085673,0.00317,9.32,0.0415,1296.0,667.65,1.191000,83.10,5999.00,4.417,0.9960
FALSE POSITIVE,0.902222843,0.5080,2.05160,2.9700e+01,0.004918,0.62687,48.23,0.0224,10340.0,2710661.90,2.999042,5.10,3705.00,0.798,89.8060
FALSE POSITIVE,22.468530900,1.0320,3.03400,2.4230e+02,0.055617,0.07290,20.05,0.1770,1040.0,276.85,12.480000,21.30,5461.00,3.566,3.3010
FALSE POSITIVE,10.161048340,0.0310,3.04480,9.0890e+02,0.027327,3.28983,2.72,0.0881,800.0,96.98,26.190000,36.80,5636.00,4.462,0.9130
FALSE POSITIVE,2.743978797,1.1380,6.44200,3.9994e+04,0.430899,0.07372,38.11,0.0348,1136.0,392.49,3.080000,56.50,5334.00,4.492,0.8100
FALSE POSITIVE,1.332561398,0.7830,4.10300,1.5060e+02,0.012322,0.06363,2.16,0.0252,2276.0,6330.12,1.814000,77.10,6468.00,4.107,1.6020
CANDIDATE,12.896235540,0.9730,2.62500,4.2660e+02,0.025283,0.20477,2.55,0.1079,783.0,89.02,12.160000,32.90,6072.00,4.510,0.9230
FALSE POSITIVE,364.143970000,0.4750,15.37000,5.1350e+02,0.021216,0.62475,2.20,1.0073,259.0,1.06,163.600000,9.30,6039.00,4.493,0.9510
FALSE POSITIVE,21.787690870,1.1920,4.49800,5.0770e+02,0.216028,0.02901,71.95,0.1732,1042.0,278.24,9.000000,38.10,5627.00,3.633,3.0500
CONFIRMED,5.907414760,0.1770,1.01600,5.5690e+03,0.067630,55.52076,5.10,0.0559,769.0,82.73,46.800000,7.20,4963.00,4.585,0.6900
FALSE POSITIVE,2.368173896,0.7630,2.34600,1.0143e+04,0.100933,0.79856,10.92,0.0334,1428.0,983.51,6.190000,52.90,5944.00,4.393,0.9910
FALSE POSITIVE,5.738659330,0.9660,4.05100,6.8860e+02,0.033126,0.03960,1.84,0.0511,535.0,19.33,4.100000,40.10,3841.00,4.756,0.5090
FALSE POSITIVE,91.056419080,1.1120,6.72820,5.7608e+04,0.464918,2.19072,53.10,0.4141,431.0,8.13,98.650000,701.10,6142.00,4.456,1.0460
CANDIDATE,2.524439980,0.2320,2.36900,4.5800e+01,0.006278,1.51612,1.53,0.0393,2145.0,4998.98,7.990000,10.60,6461.00,3.846,2.2250
CONFIRMED,4.496860660,0.0180,1.73060,1.9325e+03,0.039901,8.23637,1.93,0.0413,535.0,19.34,20.650000,37.00,3698.00,4.810,0.4440
CANDIDATE,0.537409400,0.1700,1.20390,9.4200e+01,0.008863,2.67720,0.96,0.0130,2208.0,5646.82,3.445000,21.90,5749.00,4.457,0.9880
CONFIRMED,24.754384900,0.7090,3.39000,5.9330e+02,0.023886,2.15857,2.10,0.1530,491.0,13.70,41.200000,18.00,4852.00,4.519,0.8040
FALSE POSITIVE,0.475068516,0.4120,0.85520,1.1010e+02,0.009881,5.24483,1.03,0.0121,2372.0,7444.39,3.970000,21.40,6045.00,4.494,0.9550
FALSE POSITIVE,1.796837930,0.9790,7.91100,2.2330e+02,0.018018,0.00792,3.37,0.0335,2397.0,7783.32,1.106000,27.90,7592.00,4.159,1.7140
FALSE POSITIVE,187.512512760,,8.05000,,,,,,,,,,,,
FALSE POSITIVE,12.425484000,0.9800,28.02180,1.1720e+02,0.013975,0.00029,1.55,0.0994,773.0,84.37,1.333000,43.00,5478.00,4.351,1.0170
CONFIRMED,17.783829800,0.1150,3.99700,2.4710e+02,0.014378,2.40528,1.60,0.1351,729.0,66.87,34.260000,18.70,6014.00,4.436,1.0210
FALSE POSITIVE,1.204529346,0.3830,1.62000,8.6900e+01,0.008551,1.98632,1.40,0.0215,1968.0,3561.16,5.340000,11.10,5340.00,4.046,1.5040
FALSE POSITIVE,2.158395830,1.1780,8.09000,3.5220e+02,0.197578,0.00821,14.28,0.0294,1103.0,350.53,1.264000,38.90,5272.00,4.659,0.6620
CANDIDATE,1.570592397,0.0310,0.62300,2.1440e+02,0.013623,57.05351,1.37,0.0249,1480.0,1135.98,19.520000,29.70,5519.00,4.431,0.9210
FALSE POSITIVE,371.149500000,0.2280,15.85500,5.9730e+02,0.022637,0.77804,2.07,0.9713,245.0,0.85,178.300000,11.50,5988.00,4.541,0.8360
FALSE POSITIVE,3.374684854,1.0400,4.48335,8.0917e+04,0.478261,0.38849,49.25,0.0449,1163.0,432.73,6.161000,658.30,5754.00,4.514,0.9430
FALSE POSITIVE,2.618410460,0.3690,3.30400,1.8020e+02,0.012462,0.52330,1.12,0.0360,1245.0,567.24,5.750000,24.80,5912.00,4.566,0.8200
FALSE POSITIVE,4.593594819,1.0220,2.63910,1.4552e+03,0.083644,0.10521,8.85,0.0550,1125.0,378.37,4.900000,83.50,6075.00,4.486,0.9690
FALSE POSITIVE,125.042600000,0.5215,8.99000,1.0430e+02,0.009638,0.93786,1.20,0.5046,416.0,7.06,91.900000,6.40,6273.00,4.364,1.1390
FALSE POSITIVE,6.170391540,0.1755,2.11600,5.0290e+02,0.020648,5.58880,2.17,0.0667,1029.0,264.63,22.410000,19.00,6137.00,4.487,0.9630
FALSE POSITIVE,0.364860478,0.2670,1.47360,1.1260e+02,0.009721,1.05226,0.68,0.0086,1993.0,3703.08,1.949100,23.50,5220.00,4.622,0.6420
CANDIDATE,6.422943288,0.1980,1.08150,2.6140e+02,0.014946,42.26115,1.66,0.0689,1034.0,269.80,45.170000,30.60,6102.00,4.447,1.0160
FALSE POSITIVE,6.905223170,0.9620,3.53300,4.2030e+02,0.024175,0.06012,4.54,0.0808,1343.0,768.55,5.330000,34.40,6596.00,4.135,1.7210
FALSE POSITIVE,1.525910500,0.9860,3.11400,8.3900e+01,0.011494,0.01793,2.63,0.0278,2545.0,9917.80,1.302000,14.30,6640.00,3.884,2.0990
FALSE POSITIVE,4.271219610,0.6360,2.92830,9.6670e+02,0.029689,0.77078,2.17,0.0448,802.0,97.84,9.060000,38.00,4702.00,4.602,0.6700
CANDIDATE,1.306984786,1.1440,1.19400,3.0210e+02,0.163565,0.10374,18.33,0.0242,1754.0,2230.29,2.110000,38.40,6102.00,4.457,1.0260
FALSE POSITIVE,0.769358923,0.1110,1.53640,4.4800e+01,0.006026,1.85294,1.93,0.0185,2928.0,17335.40,3.870000,19.80,5267.00,3.655,2.9350
FALSE POSITIVE,0.755109106,0.4700,2.96700,1.0600e+02,0.009553,0.21903,0.85,0.0157,1733.0,2130.82,1.876000,34.00,5452.00,4.572,0.8150
FALSE POSITIVE,25.323921500,1.2180,70.40500,1.3797e+03,0.260750,0.00010,19.02,0.1461,484.0,12.94,1.502000,214.50,5128.00,4.600,0.6680
CONFIRMED,4.612250430,0.0120,2.69500,2.9100e+01,0.004852,2.02284,0.51,0.0530,1032.0,268.27,13.150000,13.70,5495.00,4.442,0.9610
CONFIRMED,7.990223790,0.1070,3.27300,1.6590e+02,0.011686,1.96070,1.97,0.0785,1113.0,361.73,18.770000,17.60,5689.00,4.065,1.5420
FALSE POSITIVE,4.174916600,0.4759,4.82800,4.0700e+01,0.005965,0.22251,0.61,0.0513,1116.0,366.59,5.900000,11.80,5910.00,4.505,0.9400
FALSE POSITIVE,0.566786940,0.2130,1.95900,6.1200e+01,0.007096,0.68115,0.63,0.0122,1920.0,3194.49,2.260000,8.30,5341.00,4.496,0.8080
FALSE POSITIVE,0.730947010,1.1580,4.22300,2.2770e+02,0.173153,0.05968,15.83,0.0155,1870.0,2886.66,1.190000,31.20,5767.00,4.559,0.8370
FALSE POSITIVE,0.686994057,1.2610,3.52520,2.7971e+03,0.323275,0.11386,35.30,0.0153,2063.0,4267.13,1.416000,136.60,5780.00,4.438,1.0000
FALSE POSITIVE,1.324247867,0.2950,1.47590,8.3300e+01,0.008499,3.15950,1.30,0.0257,2140.0,4951.46,6.640000,26.50,6557.00,4.251,1.4060
FALSE POSITIVE,0.780632043,1.3060,1.41090,7.3650e+02,0.334674,0.16781,79.67,0.0165,2714.0,12837.08,1.755000,141.00,5354.00,3.754,2.1800
FALSE POSITIVE,0.730947169,1.1430,4.39600,2.4800e+02,0.160013,0.05768,14.43,0.0155,1777.0,2349.48,1.177000,49.10,5514.00,4.569,0.8260
FALSE POSITIVE,41.166760970,1.0930,2.21330,5.3863e+03,0.202708,4.03992,17.82,0.2124,446.0,9.35,71.260000,185.20,5193.00,4.503,0.8050
FALSE POSITIVE,1.083736642,1.2650,1.57912,8.9308e+03,0.387688,0.56259,237.84,0.0258,3641.0,41465.78,3.269000,954.20,5591.00,3.227,5.6180
FALSE POSITIVE,2.455703690,1.2050,3.10000,2.7380e+02,0.221422,0.01583,55.95,0.0334,1891.0,3017.14,1.715000,23.50,5148.00,3.624,2.3140
FALSE POSITIVE,0.642348750,0.6270,1.36990,1.0370e+02,0.009846,1.16654,2.78,0.0174,3813.0,49846.45,2.941000,61.30,7089.00,3.842,2.5840
FALSE POSITIVE,5.204286663,0.2720,6.25980,3.5221e+04,0.170338,0.26775,16.00,0.0545,934.0,180.12,7.264000,153.00,5332.00,4.471,0.8600
FALSE POSITIVE,6.352090869,0.2230,3.88771,7.5142e+04,0.249791,1.70137,18.90,0.0587,772.0,83.66,15.367000,1343.20,5089.00,4.580,0.6930
FALSE POSITIVE,1.877350712,0.2970,1.74780,1.8560e+02,0.012667,2.71676,1.46,0.0308,1650.0,1755.20,7.970000,23.10,6382.00,4.432,1.0590
FALSE POSITIVE,2.115523480,1.1870,6.71200,3.5920e+02,0.206384,0.00932,21.43,0.0330,1398.0,900.64,1.302000,28.90,5900.00,4.509,0.9510
FALSE POSITIVE,2.845739620,0.6560,7.28000,2.1170e+02,0.014011,0.03403,3.63,0.0426,1829.0,2645.94,2.440000,83.90,5557.00,3.792,2.3720
FALSE POSITIVE,7.014761150,0.6870,3.94500,1.2210e+02,0.010760,0.39580,1.02,0.0686,928.0,175.85,10.100000,27.50,5912.00,4.501,0.8700
FALSE POSITIVE,0.941603153,0.9300,1.18860,4.6210e+02,0.025036,0.45712,2.29,0.0173,1608.0,1575.78,2.780000,46.20,5237.00,4.481,0.8370
FALSE POSITIVE,24.402133730,,12.57000,,,,,,,,,,,,
FALSE POSITIVE,1.133573040,0.7390,2.84900,3.3100e+01,0.005691,0.16474,0.59,0.0208,1836.0,2688.01,2.240000,12.00,6147.00,4.449,0.9540
FALSE POSITIVE,0.643468999,0.2660,1.11080,1.0800e+02,0.009608,3.77394,0.88,0.0132,2001.0,3772.66,4.355000,19.60,5670.00,4.452,0.8430
FALSE POSITIVE,112.645961000,1.2770,7.03700,1.9579e+03,0.326725,0.12727,35.36,0.4721,377.0,4.76,44.000000,23.30,5895.00,4.489,0.9910
FALSE POSITIVE,0.526887517,0.2920,0.89710,1.1990e+02,0.010210,5.74259,0.58,0.0103,1238.0,550.37,4.380000,20.60,3945.00,4.721,0.5190
FALSE POSITIVE,4.142447480,0.3860,2.20300,6.9900e+01,0.007838,2.64528,1.82,0.0523,1907.0,3128.33,13.390000,12.30,6785.00,3.830,2.1240
FALSE POSITIVE,0.777663575,0.2040,1.17410,1.3430e+02,0.010684,4.01799,0.95,0.0160,1816.0,2553.18,5.046000,28.10,5769.00,4.570,0.8120
FALSE POSITIVE,0.552834211,1.0450,1.28870,1.4570e+02,0.062550,0.11379,18.09,0.0141,3107.0,21895.36,1.225000,30.00,5132.00,3.675,2.6480
FALSE POSITIVE,0.758354475,0.2790,4.56811,5.8178e+05,0.747799,0.48285,149.44,0.0186,3123.0,22401.95,2.448500,1560.50,7131.00,4.084,1.8300
CONFIRMED,76.536953100,0.3270,5.57400,6.5220e+02,0.023329,3.39850,3.73,0.3528,503.0,15.15,101.700000,17.70,5596.00,4.105,1.4660
FALSE POSITIVE,3.435251240,1.1210,4.50900,1.5220e+02,0.133675,0.00541,25.43,0.0466,1579.0,1468.73,1.500000,6.30,5854.00,4.014,1.7420
FALSE POSITIVE,0.962828092,1.1010,4.41100,6.3000e+01,0.108677,0.02899,40.82,0.0228,3553.0,37544.87,1.124000,22.70,6552.00,3.594,3.4400
CANDIDATE,3.111415140,0.4600,3.07400,2.8400e+01,0.005008,0.65412,0.70,0.0440,1530.0,1296.58,6.940000,8.30,6450.00,4.297,1.2730
FALSE POSITIVE,1.878156188,0.9590,2.05800,7.8750e+02,0.034268,0.12705,2.51,0.0258,1141.0,400.37,2.870000,38.40,5075.00,4.598,0.6700
FALSE POSITIVE,7.811539990,1.2710,5.98400,9.1280e+02,0.303875,0.00990,23.56,0.0710,718.0,62.96,3.170000,41.30,5150.00,4.628,0.7100
FALSE POSITIVE,0.993488979,0.8300,1.96940,2.4327e+04,0.164217,0.68053,17.90,0.0179,1914.0,3172.24,3.287000,145.80,5811.00,4.328,0.9980
FALSE POSITIVE,1.334104585,0.9860,3.14624,6.1691e+04,0.379633,0.39085,44.90,0.0238,1880.0,2954.64,3.325000,1334.60,6319.00,4.373,1.0830
FALSE POSITIVE,2.115498574,1.2150,6.73800,4.4420e+02,0.236660,0.01019,25.84,0.0332,1432.0,995.26,1.341000,45.40,5917.00,4.475,1.0000
FALSE POSITIVE,3.400766820,0.2560,4.70000,2.1100e+01,0.004232,0.25812,0.69,0.0462,1540.0,1328.50,5.400000,7.40,6134.00,4.142,1.4960
FALSE POSITIVE,6.496768810,0.6430,2.52700,1.3500e+02,0.011218,1.61822,3.74,0.0788,1761.0,2273.36,15.340000,10.60,6418.00,3.658,3.0490
FALSE POSITIVE,2.057499811,0.0040,2.56900,3.2560e+02,0.015830,1.08729,1.27,0.0284,1037.0,273.84,6.243000,23.60,4620.00,4.564,0.7360
FALSE POSITIVE,10.585675800,0.4740,4.91100,1.7870e+02,0.012533,0.54200,1.49,0.0997,912.0,163.41,14.750000,8.10,6246.00,4.433,1.0920
FALSE POSITIVE,2.696336210,1.1410,5.23800,2.3860e+02,0.156523,0.00666,15.78,0.0376,1334.0,749.66,1.368000,26.50,6106.00,4.496,0.9230
FALSE POSITIVE,11.258074500,0.9550,23.51600,7.1330e+02,0.033455,0.00080,2.14,0.0836,497.0,14.44,1.750000,55.40,4257.00,4.691,0.5860
FALSE POSITIVE,0.566795586,0.6860,4.12400,3.9400e+01,0.006105,0.08591,0.66,0.0137,2296.0,6597.10,1.134000,19.60,6108.00,4.471,0.9970
FALSE POSITIVE,1.099291188,0.0770,1.76500,2.8260e+02,0.014873,1.78677,1.37,0.0195,1414.0,947.02,4.851000,19.80,4878.00,4.500,0.8430
FALSE POSITIVE,0.474628890,0.3770,1.01940,3.3130e+02,0.016665,3.36930,1.43,0.0109,1840.0,2691.55,3.423000,31.20,4904.00,4.527,0.7860
CONFIRMED,103.426987300,0.0130,5.03000,9.5010e+02,0.028295,7.44965,3.16,0.4438,416.0,7.08,161.500000,17.80,6208.00,4.454,1.0240
CANDIDATE,0.352515897,0.2600,1.05250,1.6820e+02,0.011910,2.61583,1.00,0.0092,2194.0,5534.14,2.580000,38.00,5465.00,4.598,0.7660
FALSE POSITIVE,0.299697755,0.9640,0.84730,3.4690e+02,0.023800,0.52564,2.03,0.0081,2246.0,6005.79,1.356000,53.60,5180.00,4.547,0.7820
CANDIDATE,0.339069751,0.9580,1.15160,5.3200e+01,0.008785,0.29065,2.09,0.0102,3653.0,41863.05,1.209000,38.20,5653.00,3.846,2.1830
FALSE POSITIVE,0.566817270,0.0420,1.77900,3.5900e+01,0.005444,0.93685,0.42,0.0123,1832.0,2676.11,2.520000,9.10,5481.00,4.629,0.7080
FALSE POSITIVE,1.081935491,0.0000,5.13600,2.0290e+02,0.012649,0.08505,0.99,0.0183,1364.0,819.14,1.739400,33.90,4938.00,4.569,0.7180
CONFIRMED,0.524175803,0.3180,0.76480,2.3680e+02,0.014228,9.04642,1.27,0.0123,1891.0,3049.23,5.080000,22.40,5278.00,4.576,0.8150
FALSE POSITIVE,1.891298810,0.6990,5.29400,8.2000e+01,0.008836,0.05242,0.86,0.0293,1414.0,944.68,2.148000,29.80,5806.00,4.507,0.8930
CONFIRMED,4.943305960,0.9280,2.93340,1.2620e+02,0.012786,0.11518,1.41,0.0561,1058.0,296.74,5.300000,27.70,5661.00,4.415,1.0080
CONFIRMED,178.139072000,0.0420,9.65400,6.7880e+02,0.023396,1.78564,2.25,0.5948,291.0,1.70,144.150000,20.30,5431.00,4.496,0.8790
CANDIDATE,0.619023176,0.3870,1.49600,7.7900e+01,0.008093,1.35519,0.79,0.0142,1885.0,2985.06,3.020000,8.90,5395.00,4.536,0.8910
CANDIDATE,120.003364040,0.7800,3.38030,3.9596e+04,0.206779,20.44857,15.08,0.4209,240.0,0.78,249.690000,131.10,4315.00,4.627,0.6680
FALSE POSITIVE,4.067371428,1.5100,5.89620,6.3447e+04,0.840138,0.22067,68.81,0.0443,978.0,215.71,5.779000,1094.60,5385.00,4.532,0.7500
FALSE POSITIVE,1.540395781,0.0620,1.63050,1.7340e+02,0.011726,3.11658,0.94,0.0239,1211.0,510.22,7.312000,46.60,4955.00,4.592,0.7350
FALSE POSITIVE,32.904573300,1.2320,4.40200,6.6230e+02,0.259526,0.05766,28.34,0.2014,568.0,24.63,14.890000,19.70,5780.00,4.438,1.0000
FALSE POSITIVE,2.463533430,1.2220,2.95400,8.3000e+02,0.253317,0.03175,21.49,0.0338,1171.0,445.83,2.170000,6.80,5541.00,4.587,0.7770
FALSE POSITIVE,22.913390430,1.2810,3.94000,5.4070e+03,0.368040,0.35112,24.11,0.1336,510.0,15.94,21.400000,86.90,5451.00,4.663,0.6000
FALSE POSITIVE,1.541350116,0.2720,3.29000,3.7800e+02,0.017486,0.36089,1.50,0.0250,1273.0,619.14,3.565000,51.70,5150.00,4.590,0.7840
FALSE POSITIVE,1.205412526,1.0920,1.53700,1.0920e+02,0.102818,0.03868,12.60,0.0219,1988.0,3681.80,1.438000,17.20,6292.00,4.320,1.1220
FALSE POSITIVE,1.710316235,1.1740,3.61400,4.0940e+02,0.195310,0.01905,23.38,0.0297,1647.0,1740.08,1.433000,31.20,6147.00,4.435,1.0960
CONFIRMED,23.921040800,0.9360,5.17400,1.5830e+02,0.013956,0.08734,3.01,0.1871,1020.0,255.65,13.820000,21.90,7121.00,4.031,1.9720
CONFIRMED,9.033264350,0.4550,2.85700,6.1070e+02,0.022819,2.51510,1.96,0.0813,729.0,66.89,22.140000,18.30,5311.00,4.588,0.7880
FALSE POSITIVE,356.535835000,1.2810,5.46700,3.1130e+03,0.345194,1.28518,28.27,0.8736,220.0,0.55,205.000000,25.70,5385.00,4.532,0.7500
CONFIRMED,3.490785878,0.1160,1.45130,3.3680e+02,0.016727,9.94108,1.32,0.0418,1010.0,245.65,18.570000,32.70,5496.00,4.618,0.7250
FALSE POSITIVE,1.921494870,1.2900,1.89100,1.0060e+03,0.322515,0.08953,79.14,0.0359,2382.0,7634.18,2.590000,11.60,6831.00,3.959,2.2470
CONFIRMED,1.093665854,0.1740,1.43990,2.1840e+02,0.013555,3.12612,1.29,0.0206,1681.0,1880.33,5.825000,33.50,5845.00,4.541,0.8740
CANDIDATE,141.608555000,0.3990,7.68500,1.2631e+03,0.032298,2.26978,2.98,0.5029,290.0,1.68,134.000000,43.30,5083.00,4.512,0.8440
CANDIDATE,3.609223100,0.3640,2.80000,5.2400e+01,0.006716,1.15112,0.68,0.0463,1192.0,477.00,9.250000,4.40,6032.00,4.508,0.9290
FALSE POSITIVE,12.424733300,0.6560,16.82800,4.0500e+01,0.006159,0.01025,1.47,0.1138,1284.0,642.95,4.370000,19.30,6632.00,3.860,2.1930
CANDIDATE,11.492711200,1.2120,7.76400,2.9150e+02,0.227929,0.00237,25.01,0.1021,858.0,127.97,2.550000,18.70,6198.00,4.464,1.0050
FALSE POSITIVE,70.751198600,1.2400,6.19800,8.5810e+02,0.271356,0.05430,27.74,0.3113,441.0,8.97,24.300000,24.10,5771.00,4.400,0.9360
CONFIRMED,116.583183000,0.5860,5.80000,8.1900e+02,0.027148,3.02267,2.91,0.4572,371.0,4.47,129.500000,8.70,5738.00,4.426,0.9810
CONFIRMED,175.138920000,0.0700,10.76700,6.3450e+02,0.022585,1.25633,3.06,0.6095,346.0,3.39,126.800000,17.90,5497.00,4.243,1.2410
FALSE POSITIVE,1.302061421,1.2730,1.82380,1.0461e+03,0.305569,0.09517,92.86,0.0291,3345.0,29636.26,2.040000,29.50,7757.00,3.837,2.7830
FALSE POSITIVE,55.251786220,0.9780,6.09400,3.9874e+04,0.300696,1.30161,27.32,0.2762,444.0,9.15,59.440000,585.00,5793.00,4.561,0.8320
FALSE POSITIVE,5.548250634,0.2960,6.06772,4.2873e+04,0.191456,0.32587,21.49,0.0633,1088.0,331.99,8.094000,1170.50,6124.00,4.455,1.0280
FALSE POSITIVE,4.442520831,0.9660,2.47790,5.3150e+02,0.027421,0.11187,3.98,0.0563,1392.0,889.36,4.887000,100.30,6496.00,4.272,1.3300
FALSE POSITIVE,1.339670241,0.6020,1.89500,2.8600e+01,0.005163,0.90649,1.27,0.0289,3448.0,33385.02,4.410000,21.70,8867.00,3.988,2.2450
FALSE POSITIVE,2.685223546,1.2800,4.06320,5.4946e+03,0.369077,0.05657,28.98,0.0349,1111.0,360.92,2.783000,238.70,5552.00,4.620,0.7190
FALSE POSITIVE,1.990426420,0.0670,3.08300,1.3380e+02,0.010627,0.59978,1.17,0.0317,1539.0,1327.48,5.008000,25.30,6198.00,4.464,1.0050
