koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_srad
CONFIRMED,60.418936900,0.0940,5.03900,9.3130e+02,0.027422,4.26444,2.36,0.2884,390.0,5.49,93.710000,20.10,5354.00,4.587,0.7880
CONFIRMED,12.611904345,0.5500,5.14970,6.1056e+03,0.073758,0.61222,7.40,0.1058,753.0,76.15,17.270000,277.20,5795.00,4.508,0.9190
FALSE POSITIVE,1.433769925,1.2680,1.88680,1.9763e+03,0.318591,0.13720,46.58,0.0256,1920.0,3209.29,2.460000,112.60,6017.00,4.220,1.3390
FALSE POSITIVE,10.318723010,1.2150,3.83600,8.7170e+02,0.247006,0.03681,28.59,0.0944,876.0,139.26,5.920000,38.20,5927.00,4.409,1.0600
CONFIRMED,2.539183147,0.2380,2.42820,3.8210e+02,0.017724,1.46261,2.06,0.0355,1332.0,743.09,7.930000,38.90,5519.00,4.350,1.0620
CONFIRMED,6.770300385,0.8380,2.08440,1.3040e+03,0.037414,1.45164,2.77,0.0640,812.0,102.87,15.210000,50.80,5653.00,4.656,0.6790
FALSE POSITIVE,0.444291966,1.2580,2.07920,1.0967e+04,0.396105,0.42351,27.51,0.0101,1836.0,2706.26,1.641000,299.70,5255.00,4.678,0.6360
CANDIDATE,10.181584004,0.9200,3.50890,5.7411e+03,0.084708,0.38059,7.73,0.0884,812.0,102.91,12.776000,183.60,5988.00,4.541,0.8360
CONFIRMED,20.060363360,0.5560,3.32030,1.4947e+03,0.036455,3.09445,1.96,0.1150,361.0,4.00,40.400000,35.20,3950.00,4.754,0.4930
CONFIRMED,46.184203900,0.0130,4.75800,1.3947e+03,0.033974,3.99779,1.83,0.2005,273.0,1.32,76.670000,26.00,3950.00,4.754,0.4930
CONFIRMED,23.980085400,0.9500,5.35100,1.0400e+02,0.011879,0.05654,1.31,0.1602,649.0,41.94,11.980000,17.10,5854.00,4.406,1.0120
CONFIRMED,7.825021680,0.7080,2.18600,5.2080e+02,0.022312,2.54508,1.20,0.0614,494.0,14.05,20.200000,15.90,3950.00,4.754,0.4930
CONFIRMED,3.895936525,0.5240,2.31110,8.5448e+03,0.086890,2.31292,7.34,0.0460,1005.0,241.62,12.290000,370.80,5557.00,4.592,0.7740
CONFIRMED,22.366464660,0.4000,5.22800,9.8680e+02,0.028938,1.12517,2.32,0.1449,536.0,19.45,31.000000,32.10,5395.00,4.615,0.7340
CONFIRMED,1.625522174,0.0760,2.38963,7.9690e+03,0.080543,1.28198,9.73,0.0265,1579.0,1467.41,5.636400,799.70,5539.00,4.322,1.1060
CANDIDATE,19.620346923,0.4580,2.00380,2.1725e+04,0.137595,23.21659,13.60,0.1389,643.0,40.39,77.900000,340.50,5710.00,4.492,0.9050
